,"ppl","age"
"682","person",63
"683","person",80
"684","person",81
"685","person",58
"686","person",73
"687","person",73
"688","person",64
"689","person",70
"690","person",67
"691","person",64
"692","person",72
"693","person",57
"694","person",72
"695","person",71
"696","person",56
"697","person",59
"698","person",67
"699","person",75
"700","person",54
"701","person",62
"702","person",46
"703","person",58
"704","person",75
"705","person",60
"706","person",62
"707","person",60
"708","person",62
"709","person",71
"710","person",74
"711","person",74
"712","person",53
"713","person",65
"714","person",69
"715","person",61
"716","person",78
"717","person",65
"718","person",48
"719","person",73
"720","person",64
"721","person",64
"722","person",67
"723","person",69
"724","person",54
"725","person",74
"726","person",47
"727","person",67
"728","person",43
"729","person",66
"730","person",64
"731","person",74
"732","person",43
"733","person",63
"734","person",65
"735","person",78
"736","person",59
"737","person",66
"738","person",53
"739","person",48
"740","person",51
"741","person",63
"742","person",52
"743","person",74
"744","person",59
"745","person",57
"746","person",74
"747","person",66
"748","person",56
"749","person",71
"750","person",66
"751","person",58
"752","person",63
"753","person",68
"754","person",65
"755","person",70
"756","person",67
"757","person",78
"758","person",88
"759","person",56
"760","person",44
"761","person",66
"762","person",67
"763","person",68
"764","person",55
"765","person",59
"766","person",71
"767","person",61
"768","person",63
"769","person",51
"770","person",66
"771","person",68
"772","person",78
"773","person",62
"774","person",62
"775","person",75
"776","person",75
"777","person",56
"778","person",73
"779","person",68
"780","person",78
"781","person",62
"782","person",50
"783","person",71
"784","person",58
"785","person",65
"786","person",64
"787","person",74
"788","person",54
"789","person",56
"790","person",62
"791","person",70
"792","person",66
"793","person",69
"794","person",60
"795","person",70
"796","person",67
"797","person",79
"798","person",83
"799","person",68
"800","person",69
"801","person",67
"802","person",55
"803","person",67
"804","person",63
"805","person",48
"806","person",56
"807","person",65
"808","person",76
"809","person",58
"810","person",71
"811","person",75
"812","person",66
"813","person",66
"814","person",62
"815","person",71
"816","person",43
"817","person",74
"818","person",62
"819","person",79
"820","person",76
"821","person",56
"822","person",76
"823","person",62
"824","person",93
"825","person",54
"826","person",57
"827","person",38
"828","person",59
"829","person",83
"830","person",65
"831","person",66
"832","person",73
"833","person",67
"834","person",86
"835","person",69
"836","person",63
"837","person",55
"838","person",66
"839","person",57
"840","person",47
"841","person",82
"842","person",53
"843","person",43
"844","person",73
"845","person",57
"846","person",66
"847","person",65
"848","person",101
"849","person",70
"850","person",65
"851","person",61
"852","person",59
"853","person",66
"854","person",57
"855","person",66
"856","person",63
"857","person",73
"858","person",66
"859","person",66
"860","person",54
"861","person",58
"862","person",72
"863","person",64
"864","person",56
"865","person",56
"866","person",73
"867","person",65
"868","person",62
"869","person",55
"870","person",59
"871","person",61
"872","person",60
"873","person",81
"874","person",50
"875","person",72
"876","person",66
"877","person",66
"878","person",58
"879","person",58
"880","person",72
"881","person",73
"882","person",67
"883","person",66
"884","person",51
"885","person",55
"886","person",68
"887","person",47
"888","person",57
"889","person",87
"890","person",89
"891","person",72
"892","person",67
"893","person",72
"894","person",71
"895","person",74
"896","person",54
"897","person",52
"898","person",58
"899","person",43
"900","person",82
"901","person",63
"902","person",45
"903","person",69
"904","person",47
"905","person",79
"906","person",57
"907","person",59
"908","person",75
"909","person",65
"910","person",57
"911","person",62
"912","person",69
"913","person",64
"914","person",64
"915","person",61
"916","person",67
"917","person",54
"918","person",83
"919","person",76
"920","person",69
"921","person",75
"922","person",61
"923","person",57
"924","person",82
"925","person",67
"926","person",56
"927","person",83
"928","person",71
"929","person",75
"930","person",91
"931","person",62
"932","person",62
"933","person",62
"934","person",65
"935","person",52
"936","person",69
"937","person",71
"938","person",68
"939","person",43
"940","person",54
"941","person",73
"942","person",63
"943","person",66
"944","person",80
"945","person",71
"946","person",67
"947","person",48
"948","person",46
"949","person",61
"950","person",64
"951","person",63
"952","person",76
"953","person",48
"954","person",58
"955","person",54
"956","person",67
"957","person",66
"958","person",84
"959","person",61
"960","person",48
"961","person",79
"962","person",76
"963","person",63
"964","person",45
"965","person",51
"966","person",56
"967","person",80
"968","person",74
"969","person",77
"970","person",62
"971","person",66
"972","person",60
"973","person",78
"974","person",53
"975","person",52
"976","person",59
"977","person",58
"978","person",74
"979","person",54
"980","person",72
"981","person",43
"982","person",73
"983","person",71
"984","person",53
"985","person",65
"986","person",71
"987","person",78
"988","person",71
"989","person",86
"990","person",46
"991","person",68
"992","person",58
"993","person",72
"994","person",58
"995","person",50
"996","person",65
"997","person",59
"998","person",69
"999","person",50
"1000","person",47
"1001","person",67
"1002","person",62
"1003","person",49
"1004","person",51
"1005","person",65
"1006","person",68
"1007","person",73
"1008","person",60
"1009","person",40
"1010","person",70
"1011","person",74
"1012","person",85
"1013","person",68
"1014","person",58
"1015","person",71
"1016","person",66
"1017","person",56
"1018","person",54
"1019","person",61
"1020","person",71
"1021","person",53
"1022","person",63
"1023","person",60
